Data odczytu	Odczyt licznika
31/01/2002	2283
28/02/2002	2518
31/03/2002	2696
30/04/2002	2857
31/05/2002	2917
30/06/2002	2952
31/07/2002	2979
31/08/2002	3009
30/09/2002	3040
31/10/2002	3116
30/11/2002	3222
31/12/2002	3393
31/01/2003	3613
28/02/2003	3891
31/03/2003	4151
30/04/2003	4401
31/05/2003	4553
30/06/2003	4639
31/07/2003	4654
31/08/2003	4669
30/09/2003	4819
31/10/2003	4976
30/11/2003	5078
31/12/2003	5260
31/01/2004	5508
28/02/2004	5754
31/03/2004	5945
30/04/2004	6050
31/05/2004	6146
30/06/2004	6173
31/07/2004	6183
31/08/2004	6195
30/09/2004	6304
31/10/2004	6459
30/11/2004	6737
31/12/2004	6997
31/01/2005	7247
28/02/2005	7399
31/03/2005	7584
30/04/2005	7745
31/05/2005	7935
30/06/2005	8043
31/07/2005	8062
31/08/2005	8081
30/09/2005	8269
31/10/2005	8465
30/11/2005	8592
31/12/2005	8819
31/01/2006	9129
28/02/2006	9424
31/03/2006	9662
30/04/2006	9778
31/05/2006	9884
30/06/2006	9914
31/07/2006	9925
31/08/2006	9938
30/09/2006	10059
31/10/2006	10211
30/11/2006	10486
31/12/2006	10742
31/01/2007	10988
28/02/2007	11138
31/03/2007	11321
30/04/2007	11481
31/05/2007	11669
30/06/2007	11776
31/07/2007	11795
31/08/2007	11814
30/09/2007	11901
31/10/2007	12044
30/11/2007	12170
31/12/2007	12395
31/01/2008	12702
28/02/2008	13025
31/03/2008	13261
30/04/2008	13376
31/05/2008	13478
30/06/2008	13506
31/07/2008	13516
31/08/2008	13529
30/09/2008	13645
31/10/2008	13791
30/11/2008	14055
31/12/2008	14301
31/01/2009	14537
28/02/2009	14827
31/03/2009	15002
30/04/2009	15155
31/05/2009	15335
30/06/2009	15437
31/07/2009	15455
31/08/2009	15474
30/09/2009	15557
31/10/2009	15694
30/11/2009	15835
31/12/2009	16087
31/01/2010	16431
28/02/2010	16792
31/03/2010	17057
30/04/2010	17186
31/05/2010	17301
30/06/2010	17332
31/07/2010	17352
31/08/2010	17367
30/09/2010	17517
31/10/2010	17708
30/11/2010	18052
31/12/2010	18372
31/01/2011	18680
28/02/2011	19057
31/03/2011	19285
30/04/2011	19431
31/05/2011	19604
30/06/2011	19702
31/07/2011	19718
31/08/2011	19735
30/09/2011	19815
31/10/2011	19946
30/11/2011	20081
31/12/2011	20323
31/01/2012	20653
28/02/2012	21000
31/03/2012	21254
30/04/2012	21377
31/05/2012	21487
30/06/2012	21517
31/07/2012	21536
31/08/2012	21550
30/09/2012	21695
31/10/2012	21878
30/11/2012	22208
31/12/2012	22516
31/01/2013	22811
28/02/2013	23173
31/03/2013	23392
30/04/2013	23533
31/05/2013	23699
30/06/2013	23793
31/07/2013	23809
31/08/2013	23825
30/09/2013	23902
31/10/2013	24028
30/11/2013	24158
31/12/2013	24390
31/01/2014	24707
28/02/2014	25040
31/03/2014	25284
30/04/2014	25403
31/05/2014	25508
30/06/2014	25537
31/07/2014	25556
31/08/2014	25569
30/09/2014	25708
31/10/2014	25883
30/11/2014	26183
31/12/2014	26478
31/01/2015	26808
28/02/2015	27156
31/03/2015	27366
30/04/2015	27501
31/05/2015	27661
30/06/2015	27752
31/07/2015	27767
31/08/2015	27783
30/09/2015	27857
31/10/2015	27978
30/11/2015	28103
31/12/2015	28326
31/01/2016	28631
28/02/2016	28931
31/03/2016	29165
30/04/2016	29279
31/05/2016	29381
30/06/2016	29409
31/07/2016	29427
31/08/2016	29440
30/09/2016	29574
31/10/2016	29743
30/11/2016	30031
31/12/2016	30314
31/01/2017	30630
28/02/2017	30964
31/03/2017	31166
30/04/2017	31296
31/05/2017	31449
30/06/2017	31535
31/07/2017	31550
31/08/2017	31565
30/09/2017	31635
31/10/2017	31751
30/11/2017	31871
31/12/2017	32085
31/01/2018	32376
28/02/2018	32621
31/03/2018	32846
30/04/2018	32955
31/05/2018	33003
30/06/2018	33030
31/07/2018	33046
31/08/2018	33058
30/09/2018	33186
31/10/2018	33323
30/11/2018	33483
31/12/2018	33734
