data	zamowienie
02/01/2018	299
03/01/2018	43
04/01/2018	296
05/01/2018	287
08/01/2018	378
09/01/2018	0
10/01/2018	361
11/01/2018	379
12/01/2018	139
15/01/2018	162
16/01/2018	420
17/01/2018	410
18/01/2018	165
19/01/2018	394
22/01/2018	363
23/01/2018	158
24/01/2018	162
25/01/2018	202
26/01/2018	244
29/01/2018	75
30/01/2018	38
31/01/2018	203
01/02/2018	380
02/02/2018	420
05/02/2018	112
06/02/2018	223
07/02/2018	226
08/02/2018	102
09/02/2018	107
12/02/2018	298
13/02/2018	308
14/02/2018	391
15/02/2018	337
16/02/2018	146
19/02/2018	61
20/02/2018	442
21/02/2018	19
22/02/2018	443
23/02/2018	244
26/02/2018	110
27/02/2018	424
28/02/2018	59
01/03/2018	325
02/03/2018	106
05/03/2018	340
06/03/2018	394
07/03/2018	250
08/03/2018	0
09/03/2018	258
12/03/2018	47
13/03/2018	307
14/03/2018	326
15/03/2018	7
16/03/2018	256
19/03/2018	280
20/03/2018	326
21/03/2018	92
22/03/2018	4
23/03/2018	8
26/03/2018	79
27/03/2018	380
28/03/2018	205
29/03/2018	296
30/03/2018	211
02/04/2018	129
03/04/2018	295
04/04/2018	395
05/04/2018	304
06/04/2018	19
09/04/2018	67
10/04/2018	321
11/04/2018	131
12/04/2018	169
13/04/2018	244
16/04/2018	80
17/04/2018	277
18/04/2018	416
19/04/2018	108
20/04/2018	187
23/04/2018	25
24/04/2018	340
25/04/2018	399
26/04/2018	122
27/04/2018	314
30/04/2018	186
01/05/2018	220
02/05/2018	160
03/05/2018	47
04/05/2018	294
07/05/2018	19
08/05/2018	85
09/05/2018	258
10/05/2018	100
11/05/2018	437
14/05/2018	85
15/05/2018	148
16/05/2018	260
17/05/2018	56
18/05/2018	169
21/05/2018	231
22/05/2018	212
23/05/2018	162
24/05/2018	89
25/05/2018	239
28/05/2018	239
29/05/2018	400
30/05/2018	233
31/05/2018	331
01/06/2018	137
04/06/2018	291
05/06/2018	332
06/06/2018	133
07/06/2018	37
08/06/2018	190
11/06/2018	439
12/06/2018	144
13/06/2018	232
14/06/2018	253
15/06/2018	69
18/06/2018	253
19/06/2018	398
20/06/2018	183
21/06/2018	114
22/06/2018	126
25/06/2018	344
26/06/2018	122
27/06/2018	302
28/06/2018	380
29/06/2018	394
02/07/2018	424
03/07/2018	53
04/07/2018	289
05/07/2018	439
06/07/2018	50
09/07/2018	76
10/07/2018	412
11/07/2018	30
12/07/2018	72
13/07/2018	152
16/07/2018	447
17/07/2018	9
18/07/2018	195
19/07/2018	136
20/07/2018	281
23/07/2018	193
24/07/2018	319
25/07/2018	50
26/07/2018	349
27/07/2018	269
30/07/2018	117
31/07/2018	254
01/08/2018	383
02/08/2018	387
03/08/2018	83
06/08/2018	381
07/08/2018	282
08/08/2018	175
09/08/2018	175
10/08/2018	257
13/08/2018	321
14/08/2018	30
15/08/2018	245
16/08/2018	1
17/08/2018	230
20/08/2018	132
21/08/2018	70
22/08/2018	254
23/08/2018	215
24/08/2018	133
27/08/2018	341
28/08/2018	126
29/08/2018	295
30/08/2018	200
31/08/2018	341
03/09/2018	427
04/09/2018	408
05/09/2018	206
06/09/2018	350
07/09/2018	219
10/09/2018	201
11/09/2018	193
12/09/2018	298
13/09/2018	205
14/09/2018	357
17/09/2018	39
18/09/2018	436
19/09/2018	287
20/09/2018	32
21/09/2018	395
24/09/2018	425
25/09/2018	160
26/09/2018	12
27/09/2018	237
28/09/2018	198
01/10/2018	54
02/10/2018	255
03/10/2018	176
04/10/2018	98
05/10/2018	246
08/10/2018	17
09/10/2018	176
10/10/2018	123
11/10/2018	128
12/10/2018	197
15/10/2018	176
16/10/2018	423
17/10/2018	4
18/10/2018	406
19/10/2018	430
22/10/2018	442
23/10/2018	338
24/10/2018	64
25/10/2018	366
26/10/2018	162
29/10/2018	439
30/10/2018	195
31/10/2018	436
01/11/2018	221
02/11/2018	73
05/11/2018	316
06/11/2018	56
07/11/2018	379
08/11/2018	30
09/11/2018	336
12/11/2018	180
13/11/2018	419
14/11/2018	404
15/11/2018	200
16/11/2018	75
19/11/2018	145
20/11/2018	286
21/11/2018	183
22/11/2018	61
23/11/2018	104
26/11/2018	155
27/11/2018	171
28/11/2018	228
29/11/2018	369
30/11/2018	370
03/12/2018	338
04/12/2018	284
05/12/2018	339
06/12/2018	324
07/12/2018	180
10/12/2018	58
11/12/2018	198
12/12/2018	212
13/12/2018	4
14/12/2018	49
17/12/2018	83
18/12/2018	168
19/12/2018	198
20/12/2018	103
21/12/2018	255
24/12/2018	69
25/12/2018	403
26/12/2018	162
27/12/2018	46
28/12/2018	15
31/12/2018	183
01/01/2019	367
02/01/2019	230
03/01/2019	18
04/01/2019	332
07/01/2019	245
08/01/2019	93
09/01/2019	0
10/01/2019	136
11/01/2019	273
14/01/2019	407
15/01/2019	413
16/01/2019	241
17/01/2019	433
18/01/2019	66
21/01/2019	318
22/01/2019	330
23/01/2019	389
24/01/2019	272
25/01/2019	194
28/01/2019	115
29/01/2019	219
30/01/2019	376
31/01/2019	355
01/02/2019	313
04/02/2019	176
05/02/2019	66
06/02/2019	387
07/02/2019	305
08/02/2019	281
11/02/2019	340
12/02/2019	110
13/02/2019	294
14/02/2019	245
15/02/2019	397
18/02/2019	145
19/02/2019	182
20/02/2019	99
21/02/2019	188
22/02/2019	26
25/02/2019	234
26/02/2019	60
