LP;Data_przybycia;Nr_IMO;Bandera;Nabrzeze
1;01.01.2016;8415653;NO;HUTA (KRA)
2;01.01.2016;9201803;NL;CZESKIE
3;01.01.2016;8873764;RU;GLIWICKIE
4;01.01.2016;9374727;CY;HUK
5;01.01.2016;9252929;GI;PARNICKIE
6;01.01.2016;9549619;RU;BULGARSKIE
7;01.01.2016;9584865;CY;FINSKIE
8;02.01.2016;9390393;AG;WEGIERSKIE
9;02.01.2016;9179361;CY;GDYNSKIE S
10;02.01.2016;8918734;NL;WEGIERSKIE
11;02.01.2016;8815786;AG;PRZEMYSLOWE
12;02.01.2016;7615749;PL;SPOLDZIELCZE
13;02.01.2016;7704057;PL;SLOWACKIE
14;03.01.2016;9173214;MT;BULGARSKIE
15;03.01.2016;8905892;AG;BELGIJSKIE
16;03.01.2016;8501062;VC;DRZETOWSKIE N
17;03.01.2016;9528500;GI;SLOWACKIE
18;03.01.2016;9344497;IE;CZESKIE
19;04.01.2016;9148142;NL;FANT
20;04.01.2016;8881723;RU;GLIWICKIE
21;04.01.2016;7641475;PL;CAL
22;04.01.2016;8702252;RU;BULGARSKIE
23;04.01.2016;7704057;PL;CAL
24;04.01.2016;7419200;MT;BYTOMSKIE
25;05.01.2016;7615749;PL;SPOLDZIELCZE
26;05.01.2016;9118496;NO;HUTA (KRA)
27;05.01.2016;9341782;NL;GORNOSLASKIE
28;05.01.2016;8706349;CY;FARBOLAK SWFIL
29;05.01.2016;9219874;NL;CZESKIE
30;05.01.2016;8404458;VU;PARNICKIE
31;06.01.2016;7615749;PL;SPOLDZIELCZE
32;06.01.2016;8915536;AG;POLSKIE
33;06.01.2016;9385922;NL;KATOWICKIE
34;06.01.2016;9294692;DK;HUTA (KRA)
35;06.01.2016;9582867;AG;REGALICA
36;06.01.2016;8919221;AG;REGALICA
37;06.01.2016;8321656;DK;MAZOWIECKIE
38;07.01.2016;9065948;LV;HUK
39;07.01.2016;9195705;NL;SNOP N
40;07.01.2016;9361366;NL;CEMENTOWE
41;08.01.2016;7615749;PL;SPOLDZIELCZE
42;08.01.2016;9015929;NL;HUTA (KRA)
43;08.01.2016;9014705;MT;GORNOSLASKIE
44;08.01.2016;9404065;AG;FINSKIE
45;08.01.2016;6605448;PL;WARSZTATOWE
46;08.01.2016;9179311;FI;REGALICA
47;09.01.2016;9360996;CY;CZESKIE
48;09.01.2016;9298040;MT;CPN III
49;09.01.2016;8835853;CY;KATOWICKIE
50;09.01.2016;9461594;CY;FINSKIE
51;09.01.2016;9190080;CY;CHORZOWSKIE
52;09.01.2016;9279070;AG;BYTOMSKIE
53;09.01.2016;8402577;AG;HUTA (KRA)
54;09.01.2016;9341782;NL;GORNOSLASKIE
55;10.01.2016;9198446;BB;ANGIELSKIE
56;10.01.2016;7704057;PL;CAL
57;10.01.2016;9489546;NL;CZESKIE
58;10.01.2016;9342164;AG;SNOP S
59;11.01.2016;9529190;NL;BYTOMSKIE
60;11.01.2016;9549619;RU;BULGARSKIE
61;11.01.2016;9341720;NL;CZESKIE
62;11.01.2016;9148207;LV;HUTA (KRA)
63;11.01.2016;9584994;MT;KATOWICKIE
64;11.01.2016;9201803;NL;SLOWACKIE
65;11.01.2016;9336701;DK;FOSFATOWE DALBY
66;12.01.2016;9576703;AG;REGALICA
67;12.01.2016;7615749;PL;FARBOLAK SWFIL
68;12.01.2016;9287699;MT;FINSKIE
69;12.01.2016;9344320;PT;PARNICKIE
70;12.01.2016;9279056;NL;CZESKIE
71;12.01.2016;9180841;MT;BULGARSKIE
72;12.01.2016;8300327;PA;BULGARSKIE
73;12.01.2016;8611013;AG;REGALICA
74;13.01.2016;8023527;DK;FOSFATOWE DALBY
75;13.01.2016;9341782;NL;PIRS E
76;14.01.2016;9356488;NL;HOLENDERSKIE
77;14.01.2016;9252931;GI;PARNICKIE
78;14.01.2016;9219874;NL;CZESKIE
79;14.01.2016;7704057;PL;CAL
80;14.01.2016;9054963;NL;BYTOMSKIE
81;15.01.2016;9461594;CY;FINSKIE
82;15.01.2016;9199402;GI;SLOWACKIE
83;15.01.2016;9344320;PT;PARNICKIE
84;15.01.2016;9277278;AG;HUTA (KRA)
85;15.01.2016;9349186;AG;CZESKIE
86;15.01.2016;9030515;NO;REMONTOWE
87;16.01.2016;9122227;AG;CZESKIE
88;16.01.2016;8918605;SG;FOSFATOWE DALBY
89;16.01.2016;9136096;BE;GORNOSLASKIE
90;16.01.2016;7615749;PL;CZESKIE
91;16.01.2016;8402668;VC;CHORZOWSKIE
92;16.01.2016;7704057;PL;CAL
93;16.01.2016;8519241;AG;GORNOSLASKIE
94;16.01.2016;8129395;FO;GLIWICKIE
95;16.01.2016;8905892;AG;BELGIJSKIE
96;16.01.2016;9466295;NL;SLOWACKIE
97;16.01.2016;9245263;AG;KATOWICKIE
98;16.01.2016;8407711;CY;ARSENAL
99;16.01.2016;9086605;FI;SLOWACKIE
100;17.01.2016;7615749;PL;SPOLDZIELCZE
101;17.01.2016;8400050;BS;BULGARSKIE
102;17.01.2016;9313785;NL;SLOWACKIE
103;17.01.2016;9279020;BB;BYTOMSKIE
104;17.01.2016;9341782;NL;PIRS W
105;17.01.2016;9360996;CY;FINSKIE
106;17.01.2016;9149732;IT;GNIE─╣─ůNIENSKIE
107;17.01.2016;8504179;AG;HUTA (KRA)
108;17.01.2016;9077575;RU;CZESKIE
109;18.01.2016;9281786;GI;REGALICA
110;18.01.2016;9229051;NL;FARBOLAK SWFIL
111;18.01.2016;7615749;PL;SPOLDZIELCZE
112;18.01.2016;8918708;NL;WEGIERSKIE
113;18.01.2016;7419200;MT;WALBRZYSKIE
114;18.01.2016;8842545;RU;SLOWACKIE
115;18.01.2016;8628133;RU;FOSFATOWE
116;18.01.2016;9431587;NL;PARNICKIE
117;18.01.2016;9101730;AG;GDANSKIE
118;19.01.2016;9085455;BE;GLIWICKIE
119;19.01.2016;9313802;NL;BULGARSKIE
120;19.01.2016;9287297;MH;KATOWICKIE - DALBY
121;19.01.2016;9128403;LV;SNOP N
122;19.01.2016;8611013;AG;SNOP S
123;19.01.2016;9231846;AG;FINSKIE
124;20.01.2016;9087647;PA;SLOWACKIE
125;20.01.2016;9341782;NL;PIRS W
126;20.01.2016;9268241;GI;FARBOLAK SWFIL
127;21.01.2016;9558050;GB;SLOWACKIE
128;21.01.2016;9393278;NL;PRZEMYSLOWE
129;21.01.2016;8918734;NL;WEGIERSKIE
130;21.01.2016;8609931;LV;KATOWICKIE
131;21.01.2016;9219874;NL;FINSKIE
132;22.01.2016;9734264;BS;CEMENTOWE
133;22.01.2016;9359650;FO;DOK 1
134;22.01.2016;9483669;CY;CZESKIE
135;22.01.2016;9552070;AG;SLOWACKIE
136;22.01.2016;9345362;BE;HOLENDERSKIE
137;22.01.2016;8706349;CY;FARBOLAK SWFIL
138;22.01.2016;9382748;NL;ANGIELSKIE
139;22.01.2016;8818075;AG;OKO
140;22.01.2016;9374674;DE;WEGIERSKIE
141;22.01.2016;7704057;PL;CAL
