Nr_IMO;Nazwa_statku;Ladownosc
5111696;RONJA;127
5255777;NORDSTJERNEN;2191
5273389;FRANEK;157
5312628;SANTA MARIA MANUELA;607
5336753;NORTUG;141
5339248;STATSRAAD LEHMKUHL;1516
5346473;FLEMHUDE;123
5383304;ASTORIA;16144
6506020;STEFAN;132
6507983;SAN REMO;1283
6519302;IKAR;171
6602898;OCEAN MAJESTY;10417
6604690;SATURN;627
6605448;CYKLOP;186
6605503;ZEUS;186
6609705;NOORMAN;115
6609901;FAME;549
6617855;MISTRAL;1064
6721876;VIKTOR;101
6808090;ALVA;1037
6809769;CHRISTOPHORUS;920
6815976;SANDHOLM;436
6819697;LEOPARD;274
6822979;KRUZENSHTERN;3141
6824575;TINGANES;458
6907169;TOW 5;154
6930477;STORESUND;122
7032179;ZVEZDA MURMANA;1499
7038680;TARCO SEA;1300
7053264;FALKNES;1276
7104166;VESTBORG;1106
7116808;IDA H;1493
7208613;FELIS;277
7221469;LAVINIA;2497
7233060;TRADER BULK;2677
7236311;CAMILLA HOEJ;410
7304314;ALBATROS;28518
7330052;VISCARIA;1859
7369168;TINTO;1739
7382495;WILSON ROSS;3883
7382500;WILSON RIGA;3890
7382665;WILSON REEF;3883
7382677;WILSON RYE;3883
7388657;KARL ERIK & OXELOSUND;2911
7401277;NADIR;130
7402441;INZ. STANISLAW LĘGOWSKI;1954
7419200;WILSON ROUGH;3885
7421863;ASTERDEA;1794
7424724;MARKAB;1594
7437094;GEELVINCK;1403
7500798;BOA SUND;243
7502021;VESTBORG;1250
7504926;HENRYK;190
7508958;NIJPTANGH;1403
7510793;MISKA;916
7514440;MALAGA;2196
7521120;ALEXANDER K;518
7527887;KOPERNIK;14216
7600287;NORTH VIKING;2133
7615749;HALICZ;694
7616793;VITUS;138
7636365;SERVAL;275
7638349;ICELAND CEMENT;2865
7638519;SILVER FIRDA;1364
7641475;PORONIEC;697
7700582;DARINA;1253
7700594;AGOT;1290
7702669;SIGURBJORG;893
7703259;CORONEL;2089
7704057;PALICA;999
7704849;NORDVAAG;2854
7713345;LARGONA;866
7716490;HAVFRAKT;1094
7719832;ARCTIC HUNTER;453
7721263;KUZMA MININ;16257
7730757;ARGUS;330
7730769;ATLANT;330
7801893;KAPITAN PASHNIN;3415
7802794;GUTE;7616
7810210;WILSON MALM;3967
7810222;WILSON MERSIN;3937
7814462;WAWEL;25318
7816484;AMARANTH;4382
7821075;DAR MLODZIEZY;2255
7822421;WESTSUND;366
7823334;GLOBIA;1095
7823982;SILVER FRAMNES;2380
7904578;ADLER VINETA;527
7915307;WILSON TYNE;4913
7915541;HVITANES;4636
